Saturated Water Table,,,,,,,
40,144.53,0.07384,39.5469,19.523,1.0078E-3,2.743E-4,5.31429869
45,146.83,0.09593,51.3777,15.258,1.0099E-3,3.510E-4,5.30324807
50,149.14,0.1235,66.1435,12.032,1.0121E-3,4.451E-4,5.29172041
55,151.45,0.1576,84.4066,9.568,1.0146E-3,5.598E-4,5.27868147
60,153.76,0.1994,106.7937,7.671,1.0172E-3,6.982E-4,5.26518897
65,156.06,0.2503,134.0544,6.197,1.0199E-3,8.642E-4,5.25125034
70,158.37,0.3199,171.3304,5.042,1.0228E-3,1.062E-3,5.23636119
75,160.68,0.3858,206.6248,4.131,1.0259E-3,1.296E-3,5.22053828
80,162.99,0.4739,253.8090,3.407,1.0291E-3,1.572E-3,5.20430495
85,165.29,0.5783,309.7230,2.828,1.0325E-3,1.894E-3,5.18716729
90,167.60,0.7014,375.6523,2.361,1.0360E-3,2.268E-3,5.16964307
95,169.91,0.8455,452.8287,1.982,1.0397E-3,2.702E-3,5.15124577
100,172.22,1.014,543.0731,1.673,1.0435E-3,3.201E-3,5.13248704
110,176.83,1.433,767.4790,1.210,1.0516E-3,4.426E-3,5.09295381
120,181.45,1.985,1063.1164,0.8919,1.0603E-3,6.005E-3,5.05116498
130,186.06,2.701,1446.5881,0.6685,1.0697E-3,8.012E-3,5.00677781
140,190.68,3.613,1935.0326,0.5089,1.0797E-3,1.052E-2,4.96040588
150,195.29,4.758,2548.2660,0.3928,1.0905E-3,1.363E-2,4.91127944
160,199.91,6.178,3308.7825,0.3071,1.1020E-3,1.744E-2,4.86002743
170,204.52,7.917,4240.1475,0.2428,1.1143E-3,2.206E-2,4.80638089
180,209.14,10.02,5366.4617,0.1941,1.1274E-3,2.759E-2,4.75053240
190,213.75,12.54,6716.1108,0.1565,1.1414E-3,3.422E-2,4.69226408
200,218.37,15.54,8322.8358,0.1274,1.1565E-3,4.204E-2,4.63099890
210,222.98,19.06,10208.0599,0.1044,1.1726E-3,5.130E-2,4.56741448
220,227.60,23.18,12414.6290,0.08619,1.1900E-3,6.214E-2,4.50063044
230,232.22,27.95,14969.3219,0.07158,1.2088E-3,7.482E-2,4.43063387
240,236.83,33.44,17909.6287,0.05976,1.2291E-3,8.962E-2,4.35745686
250,241.45,39.73,21278.3956,0.05013,1.2512E-3,1.068E-1,4.28049091
260,246.06,46.88,25107.7571,0.04221,1.2755E-3,1.269E-1,4.19894177
270,250.68,54.99,29451.2705,0.03564,1.3023E-3,1.503E-1,4.11253185
280,255.29,64.12,34341.0704,0.03017,1.3321E-3,1.775E-1,4.02053166
290,259.91,74.36,39825.3587,0.02557,1.3656E-3,2.095E-1,3.92190262
300,264.52,85.81,45957.6927,0.02167,1.4036E-3,2.472E-1,3.81572401
320,273.75,112.7,60359.3050,0.01549,1.4988E-3,3.458E-1,3.57335884
340,282.98,145.9,78140.3958,0.01080,1.6379E-3,4.959E-1,3.26988841
360,292.21,186.5,99884.7417,0.006945,1.8925E-3,7.712E-1,2.82998691
373.946,298.65,220.9,118308.5225,0.003155,3.1550E-3,1.698E0,1.69754365
